Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,AllInputToPhotonLatency,ClickToPhotonLatency
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,611.8224,16.8896,16.7542,0.1354,0.3343,16.7760,0.5042,16.2718,32.6320,16.7027,0.0203,611.8224,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,579.0132,16.9810,16.6757,0.3053,33.1844,16.1639,0.7142,15.4497,65.4418,16.7026,-0.9133,579.0132,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,628.7120,16.5975,16.4809,0.1166,0.2207,16.6132,0.5789,16.0343,32.4451,16.6101,0.1869,628.7120,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,595.9942,16.3055,16.1286,0.1769,33.1719,15.8434,0.6211,15.2223,65.1634,16.6104,0.2784,595.9942,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,645.3095,16.6697,16.5423,0.1274,0.2364,16.7851,0.6874,16.0977,32.4577,16.7188,-0.0126,645.3095,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,612.2997,16.9657,16.7944,0.1713,33.7714,15.5923,0.6499,14.9424,65.4683,16.7186,-0.3049,612.2997,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,661.9792,16.6366,16.4740,0.1626,0.3518,16.5445,0.6541,15.8904,32.5068,16.5976,-0.0491,661.9792,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,629.2654,16.8982,16.6908,0.2074,33.2841,15.7482,0.5662,15.1820,65.2212,16.5975,0.2471,629.2654,NA,NA
dwm.exe,1328,0x22DFCE397F0,DXGI,1,0,0,Hardware: Legacy Flip,678.6158,16.7815,16.6123,0.1692,0.2597,16.8169,0.6617,16.1552,32.4678,16.7093,0.0390,678.6158,NA,NA
electron.exe,14508,0x250A09982E0,DXGI,0,0,0,Hardware Composed: Independent Flip,646.1636,16.4915,16.2812,0.2103,32.9768,15.8913,0.6312,15.2601,64.9205,16.7096,0.3007,646.1636,NA,NA
